(274)mk_version***;		1.01;
(275)sett_version*;		0.03;
(276)serial_num_pc;		    1;
(277)complect*****;		    1;
(608)fpga_version*;		1.00;
tconv_start**t=UTC Mon Sep 11 14:10:35 2023
var_name\time***s=;		    0;	   -1;	   -2;	   -3;	   -4;	   -5;	   -6;	   -7;	   -8;	   -9;	  -10;	  -11;	  -12;	  -13;	  -14;	  -15;	  -16;	  -17;	  -18;	  -19;	  -20;	  -21;	  -22;	  -23;	  -24;	  -25;	  -26;	  -27;	  -28;	  -29;	  -30;	  -31;
(636)pl->uybca*****;		117.9;	118.1;	117.9;	117.9;	118.1;	118.1;	117.9;	118.3;	118.1;	118.1;	117.9;	118.3;	118.3;	118.1;	118.1;	118.3;	118.1;	118.1;	118.3;	118.1;	118.1;	118.1;	117.9;	117.9;	117.9;	117.9;	118.1;	118.1;	117.9;	118.1;	117.9;	117.9;
(637)pl->fiybca****;		-33.8;	-32.7;	-32.7;	-32.7;	-32.6;	-32.6;	-32.6;	-32.7;	-32.7;	-32.7;	-32.7;	-32.6;	-32.3;	-32.3;	-32.5;	-32.4;	-32.4;	-32.5;	-32.4;	-32.5;	-32.4;	-32.5;	-32.6;	-32.6;	-32.4;	-32.5;	-32.4;	-32.3;	-32.4;	-32.4;	-32.5;	-32.4;
(638)pl->ucab******;		116.7;	116.9;	116.5;	116.7;	116.7;	116.7;	116.5;	116.7;	116.5;	116.9;	116.7;	117.1;	117.1;	116.9;	117.1;	117.1;	117.1;	116.9;	117.1;	116.9;	116.9;	116.9;	116.7;	116.9;	116.9;	116.9;	116.7;	116.7;	116.7;	116.7;	116.7;	116.5;
(639)pl->ficab*****;		29.5;	29.9;	29.9;	29.9;	29.8;	29.9;	29.9;	29.9;	29.8;	29.9;	29.9;	29.9;	29.9;	30.0;	29.9;	29.9;	29.9;	29.8;	30.0;	29.9;	30.0;	29.9;	29.9;	29.9;	29.9;	29.9;	29.9;	29.8;	29.7;	29.8;	29.8;	29.8;
(640)pl->ucbc******;		121.9;	121.9;	121.7;	121.9;	121.7;	121.7;	121.5;	121.9;	121.7;	121.7;	121.7;	121.5;	121.5;	121.3;	121.5;	121.5;	121.5;	121.5;	121.7;	121.7;	121.7;	121.5;	121.5;	121.5;	121.5;	121.3;	121.1;	121.3;	121.1;	121.1;	121.1;	121.1;
(641)pl->ficbc*****;		-90.8;	-90.8;	-90.8;	-90.8;	-90.8;	-90.8;	-90.7;	-90.8;	-90.8;	-90.7;	-90.7;	-90.8;	-90.6;	-90.7;	-90.6;	-90.7;	-90.7;	-90.6;	-90.8;	-90.6;	-90.8;	-90.6;	-90.8;	-90.8;	-90.7;	-90.7;	-90.6;	-90.6;	-90.6;	-90.7;	-90.6;	-90.7;
(642)pl->ucca******;		117.7;	117.7;	117.7;	117.7;	117.9;	117.9;	117.7;	118.1;	117.7;	117.9;	117.7;	117.9;	118.1;	117.9;	117.9;	117.9;	117.9;	117.9;	118.1;	117.9;	117.9;	117.9;	117.7;	117.7;	117.7;	117.7;	117.9;	117.9;	117.7;	117.9;	117.7;	117.7;
(643)pl->ficca*****;		-212.2;	-212.4;	-212.3;	-212.5;	-212.4;	-212.4;	-212.2;	-212.3;	-212.4;	-212.3;	-212.3;	-212.2;	-212.0;	-212.1;	-212.0;	-212.2;	-212.0;	-212.2;	-212.1;	-212.1;	-212.2;	-212.0;	-212.3;	-212.2;	-212.1;	-212.1;	-212.0;	-212.1;	-212.0;	-212.1;	-212.1;	-212.1;
(644)pl->usab******;		116.7;	116.9;	116.5;	116.7;	116.7;	116.7;	116.5;	116.7;	116.5;	116.9;	116.7;	116.7;	117.1;	116.9;	117.1;	117.1;	117.1;	116.9;	117.1;	116.9;	116.9;	116.9;	116.7;	116.9;	116.9;	116.9;	116.7;	116.7;	116.7;	116.7;	116.7;	116.5;
(645)pl->fisab*****;		30.0;	29.9;	30.0;	29.9;	29.9;	29.9;	29.9;	29.8;	29.9;	29.8;	29.9;	29.9;	29.9;	29.9;	29.9;	29.9;	29.9;	29.8;	29.9;	29.9;	29.9;	29.9;	29.9;	29.9;	29.9;	29.9;	29.9;	29.8;	29.7;	29.9;	29.7;	29.8;
(646)pl->usbc******;		121.9;	121.9;	121.7;	121.9;	121.7;	121.7;	121.5;	121.9;	121.7;	121.7;	121.7;	121.5;	121.5;	121.3;	121.5;	121.5;	121.5;	121.5;	121.7;	121.7;	121.7;	121.5;	121.5;	121.5;	121.5;	121.3;	121.1;	121.3;	121.1;	121.1;	121.1;	121.1;
(647)pl->fisbc*****;		-90.8;	-90.8;	-90.8;	-90.8;	-90.8;	-90.8;	-90.7;	-90.8;	-90.8;	-90.7;	-90.7;	-90.8;	-90.6;	-90.7;	-90.6;	-90.7;	-90.7;	-90.6;	-90.8;	-90.6;	-90.8;	-90.6;	-90.8;	-90.8;	-90.7;	-90.7;	-90.6;	-90.6;	-90.6;	-90.7;	-90.6;	-90.7;
(648)pl->usca******;		117.7;	117.7;	117.7;	117.7;	117.9;	117.9;	117.7;	118.1;	117.7;	117.9;	117.7;	117.9;	118.1;	117.9;	117.9;	117.9;	117.9;	117.9;	118.1;	117.9;	117.9;	117.9;	117.7;	117.7;	117.7;	117.7;	117.9;	117.9;	117.7;	117.9;	117.7;	117.7;
(649)pl->fisca*****;		-212.2;	-212.4;	-212.3;	-212.5;	-212.4;	-212.4;	-212.2;	-212.3;	-212.4;	-212.3;	-212.3;	-212.2;	-212.0;	-212.1;	-212.0;	-212.2;	-212.0;	-212.2;	-212.1;	-212.1;	-212.2;	-212.0;	-212.3;	-212.2;	-212.1;	-212.1;	-212.0;	-212.1;	-212.0;	-212.1;	-212.1;	-212.1;
(650)pl->uoab******;		 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;
(651)pl->fioab*****;		17.4;	33.0;	33.0;	32.8;	31.8;	30.8;	30.1;	29.8;	29.8;	31.3;	31.8;	31.4;	34.2;	31.7;	32.4;	33.4;	33.3;	33.5;	34.1;	33.7;	34.5;	36.0;	36.0;	37.8;	37.0;	36.8;	36.9;	35.3;	34.4;	34.2;	35.2;	33.8;
(652)pl->uobc******;		 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;	 0.3;
(654)pl->uoca******;		 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.7;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;	 1.5;
(655)pl->fioca*****;		-156.8;	-162.5;	-162.3;	-162.0;	-163.9;	-164.4;	-166.1;	-166.7;	-167.0;	-165.2;	-164.6;	-164.0;	-162.9;	-164.5;	-164.1;	-163.5;	-162.8;	-163.4;	-164.4;	-163.0;	-162.3;	-162.2;	-160.7;	-158.0;	-160.8;	-159.7;	-160.6;	-164.6;	-163.6;	-164.4;	-169.3;	-169.6;
